word,neg,neu,pos,compound,sentiment_cat
disguiseless,0.0,1.0,0.0,0.0,3
disgusted,1.0,0.0,0.0,-0.5267,1
disgusting,1.0,0.0,0.0,-0.5267,1
disheveled,0.0,1.0,0.0,0.0,3
dishonest,1.0,0.0,0.0,-0.5719,1
disillusioned,1.0,0.0,0.0,-0.4404,1
disingenuous,0.0,1.0,0.0,0.0,3
disinterested,0.0,1.0,0.0,0.0,3
disloyal,0.0,1.0,0.0,0.0,3
disobedient,0.0,1.0,0.0,0.0,3
disobliging,0.0,1.0,0.0,0.0,3
disorderly,0.0,1.0,0.0,0.0,3
disorganized,1.0,0.0,0.0,-0.296,2
disparaging,1.0,0.0,0.0,-0.4939,1
dispassionate,0.0,1.0,0.0,0.0,3
disputatious,0.0,1.0,0.0,0.0,3
disregardful,0.0,1.0,0.0,0.0,3
disrespectful,0.0,1.0,0.0,0.0,3
disruptive,1.0,0.0,0.0,-0.3182,2
dissatisfied,1.0,0.0,0.0,-0.3818,2
dissensualized,0.0,1.0,0.0,0.0,3
dissocial,0.0,1.0,0.0,0.0,3
distant,0.0,1.0,0.0,0.0,3
distinguished,0.0,1.0,0.0,0.0,3
distractible,1.0,0.0,0.0,-0.3612,2
distrustful,1.0,0.0,0.0,-0.4767,1
disturbed,1.0,0.0,0.0,-0.3818,2
dithering,1.0,0.0,0.0,-0.128,2
divertible,0.0,1.0,0.0,0.0,3
divisive,0.0,1.0,0.0,0.0,3
divulging,0.0,1.0,0.0,0.0,3
dizzying,0.0,1.0,0.0,0.0,3
docile,0.0,1.0,0.0,0.0,3
doctrinaire,0.0,1.0,0.0,0.0,3
doddering,0.0,1.0,0.0,0.0,3
dodgy,1.0,0.0,0.0,-0.2263,2
dogged,0.0,1.0,0.0,0.0,3
dogmatic,0.0,1.0,0.0,0.0,3
doleful,0.0,1.0,0.0,0.0,3
doltish,0.0,1.0,0.0,0.0,3
dominant,0.0,1.0,0.0,0.0,3
domineering,0.0,1.0,0.0,0.0,3
dopey,0.0,1.0,0.0,0.0,3
doting,0.0,1.0,0.0,0.0,3
dotty,0.0,1.0,0.0,0.0,3
double-crossing,0.0,1.0,0.0,0.0,3
double-faced,0.0,1.0,0.0,0.0,3
double-tongued,0.0,1.0,0.0,0.0,3
doubting,1.0,0.0,0.0,-0.34,2
dour,0.0,1.0,0.0,0.0,3
dowdy,0.0,1.0,0.0,0.0,3
down-to-earth,0.0,1.0,0.0,0.0,3
downtrodden,0.0,1.0,0.0,0.0,3
dramatic,0.0,1.0,0.0,0.0,3
dreamy,0.0,1.0,0.0,0.0,3
dreary,1.0,0.0,0.0,-0.34,2
dressy,0.0,1.0,0.0,0.0,3
droll,0.0,1.0,0.0,0.0,3
dubious,1.0,0.0,0.0,-0.3612,2
dull,1.0,0.0,0.0,-0.4019,1
dull-witted,0.0,1.0,0.0,0.0,3
dumb,1.0,0.0,0.0,-0.5106,1
durable,0.0,1.0,0.0,0.0,3
dutiful,0.0,1.0,0.0,0.0,3
dynamic,0.0,0.0,1.0,0.3818,4
eager,0.0,0.0,1.0,0.3612,4
eagle-eyed,0.0,1.0,0.0,0.0,3
earnest,0.0,0.0,1.0,0.5106,5
earthly-minded,0.0,1.0,0.0,0.0,3
earthly-wise,0.0,1.0,0.0,0.0,3
earthy,0.0,1.0,0.0,0.0,3
easeless,0.0,1.0,0.0,0.0,3
easygoing,0.0,0.0,1.0,0.3182,4
ebullient,0.0,1.0,0.0,0.0,3
eccentric,0.0,1.0,0.0,0.0,3
eclectic,0.0,1.0,0.0,0.0,3
economical,0.0,1.0,0.0,0.0,3
economizing,0.0,1.0,0.0,0.0,3
edgy,0.0,1.0,0.0,0.0,3
educable,0.0,1.0,0.0,0.0,3
educated,0.0,1.0,0.0,0.0,3
